GPPractice/Area,Year,Age,Sex,AreaType,PracticeCode,PatientCount_Asthma,PatientCount_Atrial Fibrillation,PatientCount_Cancer,PatientCount_Chronic Kidney Disease (CKD),PatientCount_Chronic Obstructive Pulmonary Disease (COPD),PatientCount_Coronary Heart Disease (CHD),PatientCount_Dementia,PatientCount_Depression,PatientCount_Diabetes,PatientCount_Eating Disorder,PatientCount_Epilepsy,PatientCount_Heart Failure,PatientCount_Hypertension,PatientCount_Mental Health,PatientCount_Osteoporosis,PatientCount_Palliative Care,PatientCount_Peripheral Arterial Disease (PAD),PatientCount_Rheumatoid Arthritis,PatientCount_Stroke and TIA,Rate_Asthma,Rate_Atrial Fibrillation,Rate_Cancer,Rate_Chronic Kidney Disease (CKD),Rate_Chronic Obstructive Pulmonary Disease (COPD),Rate_Coronary Heart Disease (CHD),Rate_Dementia,Rate_Depression,Rate_Diabetes,Rate_Eating Disorder,Rate_Epilepsy,Rate_Heart Failure,Rate_Hypertension,Rate_Mental Health,Rate_Osteoporosis,Rate_Palliative Care,Rate_Peripheral Arterial Disease (PAD),Rate_Rheumatoid Arthritis,Rate_Stroke and TIA
NHS Ayrshire and Arran,2022,00-4,All,Board,,121,0,0,0,0,0,0,0,5,10,37,0,0,0,0,0,0,0,5,0.8,0,0,0,0,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0,0
NHS Ayrshire and Arran,2022,05-9,All,Board,,709,0,5,0,0,0,0,0,47,11,68,0,5,0,0,0,0,5,15,4,0,0,0,0,0,0,0,0.3,0.1,0.4,0,0,0,0,0,0,0,0.1
NHS Ayrshire and Arran,2022,10-14,All,Board,,1002,0,15,5,0,0,0,15,103,32,161,5,15,0,0,0,0,5,10,5.1,0,0.1,0,0,0,0,0.1,0.5,0.2,0.8,0,0.1,0,0,0,0,0,0.1
NHS Ayrshire and Arran,2022,15-19,All,Board,,961,0,34,5,5,0,0,306,135,84,142,0,31,20,0,0,0,10,15,5.2,0,0.2,0,0,0,0,1.7,0.7,0.5,0.8,0,0.2,0.1,0,0,0,0.1,0.1
NHS Ayrshire and Arran,2022,20-24,All,Board,,1102,10,39,10,10,5,0,1587,202,129,212,5,52,64,10,10,5,18,24,6.2,0.1,0.2,0.1,0.1,0,0,8.9,1.1,0.7,1.2,0,0.3,0.4,0.1,0.1,0,0.1,0.1
NHS Ayrshire and Arran,2022,25-29,All,Board,,1305,19,69,10,15,0,0,3053,232,138,249,5,116,106,15,5,5,33,26,6.7,0.1,0.4,0.1,0.1,0,0,15.7,1.2,0.7,1.3,0,0.6,0.5,0.1,0,0,0.2,0.1
NHS Ayrshire and Arran,2022,30-34,All,Board,,1524,22,127,22,25,10,0,4292,321,156,327,10,269,193,24,5,5,63,51,7.1,0.1,0.6,0.1,0.1,0,0,19.9,1.5,0.7,1.5,0,1.2,0.9,0.1,0,0,0.3,0.2
NHS Ayrshire and Arran,2022,35-39,All,Board,,1654,27,213,28,43,33,0,4998,481,167,370,25,568,292,34,5,5,85,79,7.7,0.1,1,0.1,0.2,0.2,0,23.3,2.2,0.8,1.7,0.1,2.6,1.4,0.2,0,0,0.4,0.4
NHS Ayrshire and Arran,2022,40-44,All,Board,,1805,48,273,71,84,103,0,5324,664,190,373,41,1037,317,46,10,15,137,118,8.5,0.2,1.3,0.3,0.4,0.5,0,25.1,3.1,0.9,1.8,0.2,4.9,1.5,0.2,0,0.1,0.6,0.6
NHS Ayrshire and Arran,2022,45-49,All,Board,,1921,93,422,131,297,261,5,5811,1082,190,405,86,2038,358,78,21,47,188,258,8.7,0.4,1.9,0.6,1.3,1.2,0,26.3,4.9,0.9,1.8,0.4,9.2,1.6,0.4,0.1,0.2,0.8,1.2
NHS Ayrshire and Arran,2022,50-54,All,Board,,2477,210,836,308,624,732,10,7352,1957,168,526,147,4334,434,188,36,130,287,549,9,0.8,3,1.1,2.3,2.7,0,26.8,7.1,0.6,1.9,0.5,15.8,1.6,0.7,0.1,0.5,1,2
NHS Ayrshire and Arran,2022,55-59,All,Board,,2776,403,1368,622,1163,1387,36,7599,2744,125,507,219,6300,453,538,47,262,358,950,9.5,1.4,4.7,2.1,4,4.7,0.1,25.9,9.4,0.4,1.7,0.7,21.5,1.5,1.8,0.2,0.9,1.2,3.2
